time,open,high,low,close,volume
2026-06-28T00:00:00+00:00,24645.74,24817.99,24569.86,24759.24,243807
2026-06-29T00:00:00+00:00,24759.24,25056.99,24695,25025.74,158840
2026-06-30T00:00:00+00:00,25025.74,25118.31,24904.3,25066.72,179995
2026-07-01T00:00:00+00:00,25066.72,25685.28,24970.16,25642.16,490620
2026-07-02T00:00:00+00:00,25642.16,25855.03,25627.17,25841.17,104896
2026-07-03T00:00:00+00:00,25841.17,26054.039999999997,25826.179999999997,26040.179999999997,104896
2026-07-05T00:00:00+00:00,25841.17,25931.29,25714.79,25839.7,134891
2026-07-06T00:00:00+00:00,25839.7,25839.7,25426.56,25487.04,170803
2026-07-07T00:00:00+00:00,25487.04,25551.28,24843.13,25031.03,333729
2026-07-08T00:00:00+00:00,25031.03,25149.29,24871.66,25129.54,401760
2026-07-09T00:00:00+00:00,25129.54,25209.25,24933.27,25111.67,166376
2026-07-10T00:00:00+00:00,25111.67,25191.379999999997,24915.399999999998,25093.799999999996,166376
2026-07-12T00:00:00+00:00,25111.67,25165.65,24776.55,25022.56,203676
2026-07-13T00:00:00+00:00,25022.56,25219.05,24787.05,25049.05,283062
2026-07-14T00:00:00+00:00,25049.05,25148.04,24838.29,25003.3,194920
2026-07-15T00:00:00+00:00,25003.3,25070.85,24685.11,24888.61,448576
2026-07-16T00:00:00+00:00,24888.61,24891.68,24615.42,24838.43,257942
2026-07-17T00:00:00+00:00,24838.43,24841.5,24565.239999999998,24788.25,257942
2026-07-19T00:00:00+00:00,24838.43,24987.4,24703.03,24711.3,251578
2026-07-20T00:00:00+00:00,24711.3,25082.68,24711.3,25076.93,174903
2026-07-21T00:00:00+00:00,25076.93,25278.91,24959.05,25156.8,211583
2026-07-22T00:00:00+00:00,25156.8,25221.36,24692.73,24744.63,554870
2026-07-23T00:00:00+00:00,24744.63,25140.13,24696.55,25081.03,222634
2026-07-24T00:00:00+00:00,25081.03,25476.53,25032.949999999997,25417.429999999997,222634
2026-07-26T00:00:00+00:00,25081.03,25570.1,25081.03,25483.99,233332
2026-07-27T00:00:00+00:00,25483.99,25564.3,25311.8,25514.19,242746
2026-07-28T00:00:00+00:00,25514.19,25594.17,25276.91,25383.42,376808
2026-07-29T00:00:00+00:00,25383.42,25716.17,25297.5,25691.92,578572
2026-07-30T00:00:00+00:00,25691.92,25894.1,25548.59,25698.99,242107
2026-07-31T00:00:00+00:00,25698.99,25834.680000000004,25658.570000000003,25795.670000000002,32365
2026-08-02T00:00:00+00:00,25698.99,26107.71,25698.99,26086.6,176802
2026-08-03T00:00:00+00:00,26086.6,26362.55,26072.79,26353.31,174048
2026-08-04T00:00:00+00:00,26353.31,26450.03,26134.54,26198.43,155294
2026-08-05T00:00:00+00:00,26198.43,26257.38,26094.73,26181.63,166616
2026-08-06T00:00:00+00:00,26181.63,26452.43,26139.32,26303.08,137300
2026-08-09T00:00:00+00:00,26376.32,26449.39,26290.77,26351.28,99050
2026-08-10T00:00:00+00:00,26351.28,26517.78,26255.78,26396.18,116954
2026-08-11T00:00:00+00:00,26396.18,26591.23,26326.24,26389.63,113709
2026-08-12T00:00:00+00:00,26389.63,26509.97,26291.46,26420.87,195444
2026-08-13T00:00:00+00:00,26420.87,26549.45,26396.58,26467.33,104370
2026-08-16T00:00:00+00:00,26467.33,26529.09,26300.09,26326.33,98387
2026-08-17T00:00:00+00:00,26326.33,26326.33,26131.34,26165.75,127259
2026-08-18T00:00:00+00:00,26165.75,26214.51,26066.99,26095.25,150256
2026-08-19T00:00:00+00:00,26095.25,26146.16,25913.4,25972.41,135585
2026-08-20T00:00:00+00:00,25972.41,26172.6,25972.41,26125.52,91438
2026-08-21T00:00:00+00:00,26125.52,26301.850000000002,26106.32,26253.100000000002,103894.04893046376
2026-08-23T00:00:00+00:00,26125.52,26183.08,26043.09,26124.99,127077
2026-08-24T00:00:00+00:00,26124.99,26355.65,26124.99,26325.13,72952
2026-08-25T00:00:00+00:00,26325.13,26514.14,26243.66,26315.8,102768
2026-08-26T00:00:00+00:00,26315.8,26368.149999999998,26315.8,26357.649999999998,2791
2026-08-27T00:00:00+00:00,26357.649999999998,26586.999999999996,26357.649999999998,26520.889999999996,142133
2026-08-30T00:00:00+00:00,26559.32,26559.32,26181.27,26204.02,121121
2026-08-31T00:00:00+00:00,26204.02,26250.87,25806.89,25826.63,178857
2026-09-01T00:00:00+00:00,25826.63,25845.29,25800.780000000002,25826.77,10408
